FrameTimesStart	FrameTimesEnd	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	1.2281092364256556	0.7037472468589251	0.1543414320906442	2.551590481018902	8.228258379997765	0.5765538640373837	7.317751624305776	5.740080029131159	0.3244397430859149	2.2609014982594626	0.9835604893926259	0.8935273190743607	2.9709060633739286	3.8065810233209176	0.12287823570327767	3.632484545413301	1.1913521694929556	-0.016998405277263373	4.011493775200152	1.3004169463747504	0.743044100933692	0.16733460138822037	1.6761118862799562	9.911406845155733	0.28186341554260136	4.2143067426065635	3.9454716010843778	0.9288167790750124	4.543883548171887	6.019931160552482	0.1699843344054658	0.049028107939744915	-0.1257970101578394	5.9537261477212535	-0.039242968837466745	0.0060811061557161095	0.049250505761372014	3.438761807951054	0.41033980423704197	2.0044819458054572	0.0017605210564747321	3.725339244655485	11.741538589621145	8.775652713521053	2.416795283115626	18.354692715794485	7.730372945825249	4.329395039927142	5.840051144910665	2.837387008926463	4.313945711823314	4.293707639397557	4.851812865045255	5.473628042879585	5.4452547126548545	16.215176135179515	7.57773093162863	2.721406287014841	5.415681749593404	4.460608436786872	5.560108032924603	10.87977842748523	4.436712048394431	4.219763775117221	5.712438548547868	6.925911125940011	2.6139249569913527	5.978623569791825	5.83655895434954	7.77946466466332	6.148656400079616	1.679466088721555	5.711497546342344	12.135372406942443	14.099029301265437	2.1984197082930415	4.8293277474314245	4.77021324138164	2.1263672306273715	16.554909874472653	10.806107872947436	4.386104135299591	16.608887481315698	12.282929021232807	5.286995514893992	9.577341352476711	4.017045621533289	8.039521941888678	8.65493043458128	12.36273011975182	3.6712774454408033	6.347030830083789	9.435248428330565	11.70940130057627	1.937256226260705	8.62284711543916	5.262869204510494	7.927059338456485	8.22370753260933	6.091455879348603	7.8533581923679705	4.660690594504675	5.843529311822174	13.952414643869073	7.710611425812761	8.725865135445051	6.652877977362697	7.205075137468713	8.650039699390856
30	60	238.41459259598295	100.83137255773173	924.3772658721642	157.37429871959012	1039.2089279138418	397.84838794462206	791.8105709330158	1407.7228476074547	463.9397016153905	392.53746197889393	298.33109154468093	247.91188446958003	865.6296430373436	1454.994381605128	821.4551402512918	1223.6850692070855	364.5001197329468	1566.91748046875	452.85983373390496	226.80672934346478	81.63054395255116	530.4854580567163	133.65230653600938	916.8877815236269	416.7324240417474	1019.2255620300019	839.6531154622195	35.62667209225105	1030.2152949941417	1089.4099200427713	1023.2170579962935	446.72459292769554	1197.2844161987305	451.4885575973662	81.46108810872327	0.3337199918528415	6.465943806341747	978.5979151557482	49.77348136926093	370.90647088108716	0.5548654080431891	1462.925086811167	1812.7466385457908	1609.303460582189	1816.8553946815107	772.0244294426727	1081.0427296733756	1344.227588651874	1080.9181716295311	1181.8053606026147	1268.698778857364	1310.0288973928446	1311.8484348581878	1241.3686996829128	1195.1561076967719	1132.8017800896464	1310.1555263700056	1511.642540914552	1072.5186214656214	1524.6359747125196	1593.3140409398304	1451.1713453904247	1538.6911477867432	1567.5096805559974	1491.8944284022177	1706.112058370744	1474.7176031417896	1548.1365742408673	1498.7664298794177	1609.9742116224345	1518.5857590189191	1313.3946749711213	1473.712049000933	2399.4634206434384	1638.341832738811	1876.4383257495392	1850.44114348291	1414.9360637637749	1815.114709670485	1118.5644560588275	1058.0932079989407	1393.365921322764	1024.1164784982823	1320.1321724780123	1284.1434553601123	1233.9250742681027	1395.5067565015477	1397.435204139891	1240.053641524179	923.7907022817124	1624.144416481082	1491.697836751547	1455.9631596933211	1301.3708850918995	1982.1747679256996	1388.8844711772203	1408.7492026750779	1276.3344278808274	1560.9324818913813	1748.5648601195392	1367.6027691075835	1501.8071551975795	1470.1274093176319	1524.7324732202164	1596.8302135059769	1418.2407876737025	997.2219195087747	2484.5529775782866	1703.6433027900487
60	90	1858.0557670212434	757.0640792888487	6240.858071694249	1915.0908023907546	9055.393506763323	2722.4293031845946	9090.744673338297	9065.414820905193	2132.334058848727	4416.978560590243	2429.1955038510614	1858.8661752471198	9722.9034926735	8590.911659073574	5918.960641393975	10694.422181170428	3136.9241229311356	12875.164306640625	5183.996828603591	1778.0779397387485	675.1882949023794	5244.7723278157855	1561.8682347504189	8707.164274893801	3549.265360002826	8690.721144510546	8037.822804660754	912.1627684220039	8420.235151600891	7198.865345959726	9161.655708215427	3898.593974518853	9145.424560546875	5427.230095592146	501.8836862376479	8.098867297552811	53.88230688751191	7858.293188126411	429.0740196573462	2883.9613508436155	4.958784265950188	11303.028458560493	10509.513398750643	12677.06554283499	13972.969889936528	7640.9322723810255	9187.093677210123	10866.723742413269	9129.667640475647	11792.093496663258	11181.797903368173	10084.964631605331	12166.951561720556	11521.290748672138	9695.246715765057	9711.395699022769	9225.964988670039	11277.889918781653	10628.267901240091	12143.058344702718	14108.54265892254	11367.86513019453	10763.319966611656	10887.21535785247	10717.03278368642	11968.207479584698	11807.336302277585	11431.601922878523	11274.030302152525	11690.935653319844	10386.238193369361	12539.50956167279	9625.15678657982	15430.861173539077	11915.670648733138	10539.583794744345	12190.484938537007	11849.982686039582	14408.713024000606	8240.159197794963	8764.040695817339	10909.641112815527	9196.798782328216	11995.013564736193	11052.33675928651	10342.441761923315	11946.117886015365	11146.40969082428	9841.232795723681	9306.733914454338	11872.372851946979	11091.974027807295	11179.944338856933	11717.098480638862	13770.967638904707	10889.960254797215	12076.93128339251	10634.078004470739	11693.290190605023	10715.664182799752	11292.846356711663	11752.466663191122	11576.490861520731	11212.742784537915	10406.273870690025	11930.066622639702	9174.360619083282	16029.965378231473	10834.061864003193
90	120	4167.507676083736	1671.8024035158267	12717.343116684964	4276.140341197996	20324.3561880772	6176.117411495972	20090.164981297366	19369.089714544443	4455.22339388635	10046.095422266832	4493.88994043582	4299.576521628169	17940.778023208884	18184.333599057147	17090.366174732808	19912.952934047556	6843.411630824302	38169.4755859375	11827.639626777702	3984.0620324111374	1371.0846499042973	11121.730432846967	3721.454349537531	19498.10265597807	7238.8842425766525	19565.337973870224	18667.132983765478	1890.593961648765	18393.763021692852	17102.17343039933	21470.537549965513	8455.21764541166	36744.869384765625	11198.373344588414	1102.8396501345712	15.532186926622888	120.25662845016768	20744.408354586965	1046.526978954233	6331.027158208227	10.820899046463238	24532.40408681132	21924.701400816597	27672.695233188613	31027.63561515071	17341.27425286903	20828.670102161246	24487.24718181744	20924.31649324739	24234.15795916466	25325.407124907684	23026.96275944542	27048.13179017676	24322.562908890955	21302.956752320206	19031.29853059007	23488.285248293432	24823.66021917411	24604.4947752647	25298.175132512933	31409.686071001528	23797.19150571509	24631.179133436275	24833.14060715438	23453.350823887216	24359.73024174643	26384.4395354805	25281.749683423113	26081.01826344561	23668.619452713945	23974.27527483741	27606.0698289581	21189.979461053703	30162.706573319825	24459.240511057375	23311.78577893506	25747.642880376694	27252.48823562927	30554.078832603955	18429.53757576005	20316.564112455264	23976.65369047609	19714.877668322137	26722.979058056117	25524.342775637226	23294.39991738545	26896.138415570727	25138.206409523646	22144.31100784118	18803.377021349974	25003.410543515038	24330.385877038883	27084.897687437475	26920.174099612537	32066.105413629874	23412.705550065977	26023.576113380117	23482.187566347253	26494.46615439866	24925.243411940974	25464.94839390673	25796.77909380143	25384.08888280253	23827.03630331317	23111.825857855467	27573.846464546008	19197.5378638719	34835.1241376241	23340.1660167324
120	150	6488.4926500852425	2414.0942597111853	18073.227218728316	6744.289739050675	31435.675971603887	9337.44438211504	31285.73917749055	32592.63880739749	9601.713723816132	15296.259858707293	7573.1784153836725	6373.855784232303	26935.701310153854	25323.221015696166	22164.656824365993	31405.916501193577	10510.558414490519	49809.8974609375	17755.044459358138	6150.521468718007	2130.3881075808426	17646.439191481648	5721.672353807645	29669.75095659582	10780.228059188521	33192.761328711735	29900.196899874314	2620.6825838151112	27118.823677900942	23266.675743029595	30459.13248508196	11236.910195023156	63680.91748046875	16426.600064243525	1266.8779329628242	20.519177402511538	178.90624796159668	31670.377090872695	1461.8753403824167	9510.527830221814	15.486062398088164	38520.300419034174	31899.38493602145	44005.41372935117	48811.666754987506	26219.588454397963	31178.621418715175	37229.11239353233	32883.41932604026	37736.659206242	40338.507472387166	35135.23607712419	40929.752904198045	36319.08940352847	33890.41029847056	28893.530440631213	34168.18678036136	36343.790957723155	38125.13483560849	38761.965932379746	52107.33390972282	38154.30721187532	37004.25529546815	38859.68947658606	37198.979922164595	33100.03547471051	40163.924789346915	38150.07823524107	39161.287262633836	35386.44940714301	37898.69452191934	44179.50827894181	29458.73171942204	48068.496976690374	34886.454203823465	35174.66345253491	38088.23687991247	40785.12055608264	46909.661883040775	27295.703506082613	31229.13060851263	36250.24352032477	30982.11437789796	38467.6183064367	38987.941940175224	33925.21761635537	42274.33619304415	36452.43431859037	33633.55186711445	27355.328366996928	38832.89927065181	37670.831771020414	41598.8990168543	40773.139340007365	50925.9081953871	37757.69778720571	42419.74093455169	36811.35177762458	40747.76136166027	33120.85980229528	39367.90579630267	39566.92359997082	38379.99215232086	34469.365493550686	35643.92292640473	39264.374754475335	28218.693760076258	47008.08046388979	33216.998267622934
150	180	7211.089538956168	2754.358554618684	18688.045573535717	7432.338049529669	34923.17131509021	10120.182297756328	35518.394658392026	34071.21702707586	9308.569806774562	17764.737746659797	8533.68236630548	6410.209089287897	29929.90587047197	26053.551226080566	22240.53413792023	40394.06907769097	10704.277634022212	58954.7236328125	21738.72069848627	6822.479124863764	2206.5958022676045	21643.14111732034	6342.335434104794	33183.667539859634	11957.613901084676	34686.14032729053	31852.975407428064	3683.428071389092	30950.138765573454	25801.275471510497	32465.388462558116	12456.903736678183	43929.280517578125	18287.35491644685	1036.452054914881	17.126246925583597	188.51004423377128	34798.05787783658	1879.388533769982	10224.824191821748	14.319560857620397	41546.634468424156	34247.2798445978	47133.73460294438	51693.398893777296	28303.764450187846	34832.222441642945	41361.05502848726	36745.99728938653	39098.89115415004	46052.606539973865	37845.21261306919	46247.06515290627	40007.19081315228	37644.25139841184	32608.928587701586	37645.86723083107	40481.68965087838	42188.22129751282	44020.63509453031	56492.364618836575	42006.30480547345	42478.80484083709	42007.13692447902	41276.92528528135	37126.94353668486	45478.141371424244	42716.512653647995	43630.58325648058	37308.372504872204	41026.291940078445	45718.02033309697	29968.092585189355	48476.89722098323	37052.957241685035	38275.728398437364	40304.54595334992	45397.002555566636	50695.62488797685	28305.880258233552	34488.60118857355	40721.866983675856	34763.168325167484	39888.745776273325	44954.94172449893	38664.636739644295	46173.242874366544	39023.835280260384	37391.570383164326	32378.35731659297	44073.68969649026	38893.941456698536	45107.20608431188	44510.73923715987	55316.62715019651	40373.632590389825	45267.12348219001	40601.610094927426	44904.59180901829	34113.22943621811	44373.403382021876	43089.08528287944	42296.25546537122	36858.03472190388	39046.50146117075	45700.01121730318	30860.70550199611	49694.51547806351	35841.161095481206
180	240	7227.391788353396	2733.797992814474	18844.247113529003	7734.286845694355	35473.72439108685	10201.019423679234	35446.251802767394	34093.48563412588	8445.581654167061	17958.578015884665	8941.15771282135	6786.59906236739	31127.087319963386	26751.847745730094	22294.23544686251	36715.29683557581	11128.865064586207	35106.62890625	21148.109437514802	6871.983380460744	2244.9580589057346	20844.31373237161	6563.739421512418	33484.967916352594	11907.399451911417	34205.52644236797	32319.185440250254	3463.672829211194	29839.114447931992	27433.233406631178	34612.17376911187	12284.96693874639	59718.01513671875	18417.25893862189	1061.4131839314446	19.264770443070457	187.287546159288	35074.59330311364	1751.6667785864036	10171.289002263951	13.765577419539001	41430.43911763346	35959.94611757044	47070.718095353586	50891.45222234495	27759.151504532972	35804.40254794325	41132.18979333616	37181.68789901864	39791.11653039566	45879.50540911672	38363.44904364158	45890.83243924694	39894.043678282294	37792.96485220538	33375.69607572871	38392.16559634398	41548.804416744635	41935.45082212809	43592.60862985948	55597.6540823184	42142.35450594809	42802.9419193571	42507.58342194433	42852.82856662516	38336.32223495004	44973.10952922986	42345.616585912525	43799.6324841573	37992.94169737951	40845.079495747384	45973.70531547682	28881.571847357092	48819.30547872114	38034.115677670336	39644.410721411805	40730.488550760165	45378.90151530741	51716.38718030375	29917.052470185037	35450.45965387266	40773.285015806054	35404.05696663455	41163.16282341964	44802.96015195831	38272.35718823143	46767.456885459076	39213.47814783217	37839.550806234765	31882.516317028836	41901.431872158006	39873.42250209494	43735.56696154587	44349.64159358671	55100.34112454585	40574.50570558718	45787.49088932918	40855.38637916245	43916.2438903761	34798.876143683745	43776.09686569921	42756.98678966935	42356.43450878466	37284.87193010293	39439.95490112905	43349.521805839024	29051.2654081957	47480.469687002675	35204.7231688483
240	300	7053.634586519883	2618.5051144442145	18529.173970272666	7890.374855940196	34894.05569787566	10080.207622261527	34184.996535154125	33756.07320462903	9074.332862675605	17155.79896464548	8939.801168319624	6400.431471540781	29657.136377460407	27405.352934290393	20802.946370304544	37705.3546379485	10589.229376577981	47016.10400390625	20270.51638880379	6722.899449971714	2358.3526296717528	22157.008007273955	6548.991338894755	33058.58728768431	11554.859353120153	34910.64871337666	31557.37570773645	3384.917942241346	30741.90609766858	27200.147894181984	34155.34172630076	12268.398154393422	45001.278564453125	17902.22448842494	1199.345732860878	20.95749763100935	185.02303257348498	34617.619763036324	1761.6583867741695	9825.168581695643	13.07470757443028	39554.31088543053	36173.92486010519	44301.903368521795	49456.843171366745	27334.253139299384	34465.150535092325	40547.74851275666	36145.10449791515	37159.94475857995	44413.11779104891	37270.26471543938	43611.086629229896	38782.34285921698	37384.83738166113	32636.068040320824	38287.791737724896	40700.2121605761	41796.08632844109	41763.19914275679	52505.4798542578	41720.23108278028	40975.558732076235	41200.71012601913	41342.88778717652	37401.263822783054	43524.54869466496	40810.669840640294	42556.75687535359	37219.94191836589	40417.54639546201	43370.14070672178	29251.513128770614	48945.59897514218	36607.203425153566	37786.38783146148	39333.59989774758	43666.056724369	47952.317425486064	28080.56511315634	35139.00459313442	40231.508018523105	34845.304081479575	40318.26420960683	44206.36974599145	37378.87585974121	45014.757908926185	39150.59851445747	36506.01914111189	30882.036787772235	41405.41483547511	38395.27228512185	43849.73415122097	42491.16607205079	53342.00333561019	39492.92122068445	42505.357711939345	39739.345697516044	42448.73041280477	33909.5078393535	43274.68948218471	40984.54674955362	40935.59200165128	36154.573124182825	38483.88206520326	41581.65688470386	29873.93089531498	48696.27865269979	35506.41479240048
300	360	6733.350151858322	2670.0227841613987	19057.149654262943	7181.240688615686	33059.73337352387	9764.086673402107	31369.20580086181	30692.19208035537	7714.8672697844195	16720.673414130757	8370.467917033482	6588.718850363225	31062.307519770482	26305.256160576366	20360.424024097458	32920.15877025463	10390.458202578897	46048.9052734375	20478.49606902482	6340.893967507265	2178.278775728718	20824.834513944737	6213.010083626843	31232.915513112275	11052.044609719398	33327.932032693396	29224.906953032758	2878.0817849577898	30205.08059292737	26572.25032916934	33554.415078014536	12158.45660121844	42870.832763671875	17517.505522449588	952.5784152922083	14.93538412691514	176.39632106186417	33432.62912903149	1884.6395822492427	9371.417925409847	12.732362616165249	38905.65264989207	34627.80272799497	42563.71518645615	46781.67251010563	27943.981378236043	33393.365602517886	38868.74853952477	34820.79938041125	36050.41632471918	41949.938092332144	35512.1258448584	42214.356439627336	36652.06528758567	35387.47053350003	30341.550550509503	35394.81538123882	37410.92320732192	38744.271637019745	40159.93312241023	49427.37848240816	39337.20750494957	38588.018581744764	38714.90543559349	38203.7999108315	34808.331207299336	41462.458459566835	39183.018630807834	40447.33596198017	35381.02090168524	38702.744728099045	39841.884648870444	29344.919154439798	43449.67684153961	35552.853671056444	35489.662228167195	37676.583959280026	42246.34605960833	45846.925246162595	28241.218367530226	34087.04267092118	37516.868380120395	33513.77956365988	36919.1191698211	41942.705112540796	34859.224658061314	42849.76663885471	36999.24016583961	34563.87550769536	30572.076334386522	39787.12557975635	36779.48554496919	40130.068478314985	40950.008461184465	48588.89045063222	37074.210755190245	40969.75002382312	37360.31308900492	39657.4964371625	33400.827021055506	40046.189683215096	38490.91528948289	39827.78971862159	34626.235515195396	36175.65683011927	39966.81950165664	29082.24183708316	44023.525049506294	32731.377646879377
360	480	6233.460248781386	2506.960834290232	20524.97157081805	6780.086920999609	31099.33762640141	9303.967304992906	28435.007561144685	28919.204974268767	8492.425073163222	15642.848540245404	8528.769225417582	6032.82358635661	30803.944469238173	25492.433047687417	20728.488096399647	32402.26476707176	10150.490633564426	40364.08349609375	22346.8349950509	5917.659599145425	2209.9056230943756	22568.259276446173	5820.462580325344	29180.992601186168	10665.63387922664	29645.551319476603	26824.674873002914	3139.0162151327295	30359.115818213915	25917.346462214973	30275.037187559912	10890.070852436635	39311.57080078125	17654.00497687514	1088.938844211766	14.984896789775574	163.6801026057684	30250.47761506618	1662.479070266612	8678.925462869245	11.376233810873273	35585.830484516395	32765.697904805915	38367.76887567938	44375.75052047582	25009.333534322584	30802.218221337745	35478.54832311541	31930.478014920016	33230.31355717051	39287.988155199106	33471.85248072713	38627.63818145322	34425.99822897158	32847.6270592223	29013.00373658332	33994.57801788641	35065.1661339519	36533.34347291995	36662.303484425756	44828.16080915475	36448.54602763167	36217.28083177659	36177.935490137505	35100.18158754309	33696.0386428354	37752.40573757277	35640.70237094307	37319.837143316196	33105.461579489456	35121.999518790464	37288.74033326092	26662.837243367096	40776.246542070585	33310.855693753816	33360.666262305305	34945.55215153456	37356.75788319391	43468.348029230685	25781.413395137664	31999.58438050346	34550.69737245264	30740.43512267008	33975.42511823678	38853.96657807354	33255.1760377852	39432.05824142576	34477.07239349754	31926.51940990449	27874.36674363423	36097.622722103646	34314.53669799518	37588.41694473225	36813.476765172345	46488.940519144555	35394.334678070394	38517.920765087285	34114.3139858306	36730.207194509974	30859.6775975992	36587.82866525718	35016.54401019924	36199.28339786599	31669.295633080492	33740.01772344379	36700.81236020021	25891.125952754097	41991.1817368684	31888.652034439772
