FrameTimesStart	FrameTimesEnd	cerebellum
0	30	9.779925764593006
30	60	1080.8270663501137
60	90	9629.657441592664
90	120	21669.895969679637
120	150	33342.0596034502
150	180	37510.04402360394
180	240	38019.916264417814
240	300	37198.02986184017
300	360	35346.96294411839
360	480	32943.759187863194
480	600	30316.99885451085
600	900	26606.32583780099
900	1200	22992.814759616107
1200	1500	20086.770049764673
1500	1800	17907.750474543063
1800	2100	16009.08539487741
2100	2400	14343.299111326438
2400	2700	13318.793461802172
2700	3000	12317.047006694655
3000	3300	11259.02810878254
3300	3600	10563.547688586848
3600	3900	9802.399194693855
3900	4200	9646.425386265346
4200	4500	9118.407768297022
4500	4800	8427.993162046758
4800	5100	8459.439912494528
5100	5400	7854.038687174288
