FrameTimesStart	FrameTimesEnd	cerebellum
0	30	16.58772600141342
30	60	1048.6363350940967
60	90	9243.474958583804
90	120	21087.697424978844
120	150	32482.35618736121
150	180	36655.952949087405
180	240	37277.712875839774
240	300	36459.94241614072
300	360	34753.26427304725
360	480	32415.91098952574
480	600	30035.924025144297
600	900	26505.15838592098
900	1200	23066.36163958055
1200	1500	20294.32589520512
1500	1800	18246.934803399323
1800	2100	16435.306468206774
2100	2400	14830.727734764825
2400	2700	13802.550952948279
2700	3000	12857.970058703322
3000	3300	11852.735942673073
3300	3600	11189.552893351312
3600	3900	10469.040907281946
3900	4200	10219.049503548244
4200	4500	9735.743846808118
4500	4800	9106.672536744274
4800	5100	9019.99326861267
5100	5400	8384.689540545729
