FrameTimesStart	FrameTimesEnd	thalamus
0	30	2.72971165566638
30	60	1541.9234218270099
60	90	10476.607068804236
90	120	22601.16016615274
120	150	35185.613072530716
150	180	38244.32496678773
180	240	39160.60409455441
240	300	40286.827029604625
300	360	38402.797536198326
360	480	36465.16724508824
480	600	34027.91389186818
600	900	31874.358043462362
900	1200	28343.330402630167
1200	1500	26772.12750920193
1500	1800	23658.217546436234
1800	2100	22089.063590063135
2100	2400	20399.43920174776
2400	2700	19045.44419653739
2700	3000	17759.93399671534
3000	3300	16225.279815626218
3300	3600	15136.025569636067
3600	3900	14436.920813121587
3900	4200	12748.403327168244
4200	4500	12977.930401639895
4500	4800	12721.039489079563
4800	5100	11516.4791996758
5100	5400	10572.90636159626
